Timestamp,Marker_0_X_mm,Marker_0_Y_mm,Marker_1_X_mm,Marker_1_Y_mm,Marker_2_X_mm,Marker_2_Y_mm,Marker_3_X_mm,Marker_3_Y_mm,Marker_4_X_mm,Marker_4_Y_mm,Marker_5_X_mm,Marker_5_Y_mm,Marker_6_X_mm,Marker_6_Y_mm,Marker_7_X_mm,Marker_7_Y_mm
2025-03-11 17:09:23.019939,423,440,19,44,35,56,10,7,28,36,3,15,,,,
2025-03-11 17:09:23.201628,839,350,22,47,37,60,10,0,37,26,8,8,,,,
2025-03-11 17:09:23.379470,631,642,33,51,49,64,10,0,36,24,10,8,,,,
2025-03-11 17:09:23.556736,631,645,37,45,53,58,17,1,43,35,19,10,,,,
2025-03-11 17:09:23.715176,639,645,38,49,54,61,20,5,51,28,19,14,,,,
2025-03-11 17:09:23.869102,637,645,42,51,57,64,8,0,47,28,9,10,,,,
2025-03-11 17:09:24.018233,633,645,34,61,49,74,6,0,39,32,4,9,,,,
2025-03-11 17:09:24.170105,632,645,32,62,49,75,7,6,21,34,1,14,,,,
2025-03-11 17:09:24.324040,638,641,,,,,7,6,20,33,1,16,,,,
2025-03-11 17:09:24.454357,628,645,,,,,14,0,15,28,0,33,,,,
2025-03-11 17:09:24.581519,635,644,,,,,12,0,13,27,12,39,,,,
2025-03-11 17:09:24.705257,635,643,,,,,12,0,7,21,12,39,,,,
2025-03-11 17:09:24.833739,635,644,,,,,15,12,18,35,13,44,,,,
2025-03-11 17:09:24.947529,639,642,,,,,15,10,18,32,0,41,,,,
2025-03-11 17:09:25.061824,374,433,,,,,9,7,14,29,7,39,,,,
2025-03-11 17:09:25.167273,373,433,,,,,8,7,13,29,6,39,,,,
2025-03-11 17:09:25.262487,374,433,,,,,8,7,12,29,5,37,,,,
2025-03-11 17:09:25.374020,373,432,,,,,10,9,11,32,6,42,,,,
2025-03-11 17:09:25.468122,372,429,,,,,8,1,14,25,7,35,,,,
2025-03-11 17:09:25.580552,369,428,,,,,7,0,11,22,9,34,,,,
2025-03-11 17:09:25.698315,366,423,,,,,8,0,13,21,9,32,,,,
2025-03-11 17:09:25.821300,367,427,,,,,7,0,12,21,7,32,,,,
